name,score,type,episodes,ranking,duration,PG_13,R,PG,R_plus,G,manga,book,music,game,other,original
Kidou Senkan Nadesico,7.52,TV,26,1521,23,1,0,0,0,0,0,0,0,0,0,1
Mezzo DSA,6.68,TV,13,5005,25,0,0,0,1,0,0,0,0,0,0,1
Dragon Ball,8,TV,153,535,24,1,0,0,0,0,1,0,0,0,0,0
Dragon Ball GT,6.48,TV,64,5974,23,1,0,0,0,0,1,0,0,0,0,0
Elfen Lied,7.56,TV,13,1382,25,0,0,0,1,0,1,0,0,0,0,0
FLCL,8.03,OVA,6,505,25,1,0,0,0,0,0,0,0,0,0,1
Jigoku Shoujo,7.65,TV,26,1158,25,0,1,0,0,0,0,0,0,0,0,1
Ninin ga Shinobuden,6.92,TV,12,3939,24,0,1,0,0,0,1,0,0,0,0,0
Air Master,7.02,TV,27,3550,24,0,1,0,0,0,1,0,0,0,0,0
Asagiri no Miko,6.18,TV,26,7429,12,0,0,1,0,0,1,0,0,0,0,0
Cardcaptor Sakura,8.16,TV,70,346,25,0,0,1,0,0,1,0,0,0,0,0
Daa! Daa! Daa!,7.65,TV,78,1152,25,0,0,0,0,1,1,0,0,0,0,0
Dan Doh!!,6.69,TV,26,4958,24,0,0,0,0,1,1,0,0,0,0,0
Detective Conan,8.16,TV,NA,349,25,1,0,0,0,0,1,0,0,0,0,0
E's Otherwise,6.64,TV,26,5178,23,1,0,0,0,0,1,0,0,0,0,0
Koukyoushihen Eureka Seven,8.09,TV,50,426,24,1,0,0,0,0,0,0,0,0,0,1
Rekka no Honoo,7.36,TV,42,2072,23,1,0,0,0,0,1,0,0,0,0,0
Gankutsuou,8.17,TV,24,342,24,0,1,0,0,0,0,1,0,0,0,0
Genshiken,7.66,TV,12,1136,25,1,0,0,0,0,1,0,0,0,0,0
Girls Bravo: First Season,6.45,TV,11,6170,23,0,0,0,1,0,1,0,0,0,0,0
Gokusen,7.42,TV,13,1822,23,0,1,0,0,0,1,0,0,0,0,0
Gravitation,7.02,TV,13,3562,22,1,0,0,0,0,1,0,0,0,0,0
Agatha Christie no Meitantei Poirot to Marple,6.88,TV,39,4105,25,0,0,0,0,1,0,1,0,0,0,0
Great Teacher Onizuka,8.7,TV,43,44,25,0,1,0,0,0,1,0,0,0,0,0
Groove Adventure Rave,7.27,TV,51,2474,24,1,0,0,0,0,1,0,0,0,0,0
Harukanaru Toki no Naka de: Hachiyou Shou,7.05,TV,26,3462,24,1,0,0,0,0,0,1,0,0,0,0
Ichigo 100%,6.68,TV,12,4993,23,1,0,0,0,0,1,0,0,0,0,0
InuYasha,7.85,TV,167,740,24,1,0,0,0,0,1,0,0,0,0,0
Konjiki no Gash Bell!!,7.55,TV,150,1434,23,1,0,0,0,0,1,0,0,0,0,0
Kyou kara Maou!,7.7,TV,78,1032,25,1,0,0,0,0,0,1,0,0,0,0
Madlax,7.07,TV,26,3366,24,1,0,0,0,0,0,0,0,0,0,1
Jungle wa Itsumo Hare nochi Guu,7.84,TV,26,757,23,1,0,0,0,0,1,0,0,0,0,0
Jungle wa Itsumo Hare nochi Guu Deluxe,7.83,OVA,6,780,26,1,0,0,0,0,1,0,0,0,0,0
Jungle wa Itsumo Hare nochi Guu Final,7.65,OVA,7,1162,26,1,0,0,0,0,1,0,0,0,0,0
Hoshi no Koe,7.22,OVA,1,2682,25,1,0,0,0,0,0,0,0,0,0,1
Ikkitousen,6.45,TV,13,6153,24,0,0,0,1,0,1,0,0,0,0,0
Hitsuji no Uta,6.23,OVA,4,7217,30,0,1,0,0,0,1,0,0,0,0,0
Happy☆Lesson,6.64,OVA,5,5198,30,1,0,0,0,0,0,0,0,0,0,0
Happy☆Lesson (TV),6.67,TV,13,5048,23,1,0,0,0,0,1,0,0,0,0,0
Happy☆Lesson: Advance,6.84,TV,13,4278,24,1,0,0,0,0,1,0,0,0,0,0
Happy☆Lesson: The Final,6.83,OVA,3,4327,30,1,0,0,0,0,1,0,0,0,0,0
Hajime no Ippo,8.75,TV,75,32,23,1,0,0,0,0,1,0,0,0,0,0
Hajime no Ippo: Champion Road,8.29,Special,1,228,NA,1,0,0,0,0,1,0,0,0,0,0
Hajime no Ippo: Mashiba vs. Kimura,8.23,OVA,1,278,NA,1,0,0,0,0,1,0,0,0,0,0
Gunparade March: Arata Naru Kougunka,6.8,TV,12,4435,23,1,0,0,0,0,0,0,0,1,0,0
